observation_date,TURCPIALLMINMEI
1/1/96,1.610292833333333284429
1/1/97,2.989820250000000179114
1/1/98,5.520444416666665965465
1/1/99,9.101417333333330361711
1/1/00,14.099496666666665234402
1/1/01,21.769647500000001372200
1/1/02,31.558178333333330556343
1/1/03,38.375513333333337584463
1/1/04,41.675142499999999756710
1/1/05,45.083818333333326222601
1/1/06,49.410620833333332768689
1/1/07,53.737104166666661342333
1/1/08,59.349476666666660662486
1/1/09,63.059396666666664543754
1/1/10,68.461346666666671012536
1/1/11,72.892082500000000777618
1/1/12,79.373332500000003619789
1/1/13,85.320849166666675955639
1/1/14,92.875645833333322798353
1/1/15,99.999998333333323330407
1/1/16,107.775125000000002728484
1/1/17,119.785925000000005979928
1/1/18,139.349908333333331711401
1/1/19,160.498799999999988585841
1/1/20,180.206375000000008412826
1/1/21,215.520533333333332848269
1/1/22,371.360916666666639684991
1/1/23,571.373716666666609853564
1/1/24,905.664141666666751007142
