observation_date,FPCPITOTLZGJPN
1/1/96,0.13660035857590899
1/1/97,1.74780458692132989
1/1/98,0.66197419138591096
1/1/99,-0.341296928
1/1/00,-0.676578684
1/1/01,-0.740055504
1/1/02,-0.923494027
1/1/03,-0.256541816
1/1/04,-0.008573388
1/1/05,-0.282946069
1/1/06,0.24935511607908500
1/1/07,0.060039454
1/1/08,1.38007886164919991
1/1/09,-1.35283673
1/1/10,-0.728243208
1/1/11,-0.272455616
1/1/12,-0.04406451
1/1/13,0.33503791218474099
1/1/14,2.75922671353252991
1/1/15,0.79527963057983897
1/1/16,-0.127258844
1/1/17,0.48419979612638497
1/1/18,0.98909459802184796
1/1/19,0.46877615938395001
1/1/20,-0.024995834
1/1/21,-0.233352779
1/1/22,2.49770278172255011
1/1/23,3.26813365933162991
1/1/24,2.73853681635240997
